,title,price,n_enrolled,Level,language,subject
0,How to Learn Online,$49 ,"124,980",Introductory,English,Education & Teacher Training
1,Programming for Everybody (Getting Started with Python),$49 ,"293,864",Introductory,English,Computer Science
2,CS50's Introduction to Computer Science,$90 ,"2,442,271",Introductory,English,Computer Science
3,The Analytics Edge,$199 ,"129,555",Intermediate,English,Data Analysis & Statistics
4,Marketing Analytics: Marketing Measurement Strategy,$249 ,"81,140",Introductory,English,Computer Science
5,Introduction to Project Management,$199 ,"301,793",Introductory,English,Business & Management
6,Leading High-Performing Teams,$5 ,"32,847",Intermediate,English,Communication
7,The Foundations of Happiness at Work,$199 ,"67,073",Introductory,English,Business & Management
8,"Managing Study, Stress and Mental Health at University",$49 ,"23,061",Introductory,English,Health & Safety
9,Six Sigma: Define and Measure,$99 ,"92,411",Introductory,English,Business & Management
10,Fat Chance: Probability from the Ground Up,$49 ,"66,835",Introductory,English,Math
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,$49 ,"44,711",Introductory,English,Communication
12,Bitcoin and Cryptocurrencies,$99 ,"83,398",Introductory,English,Computer Science
13,English Grammar and Style,$99 ,,Introductory,English,Humanities
14,Ethics in Action,$49 ,"6,366",Intermediate,English,Ethics
15,Introduction to FinTech,$199 ,"72,767",Introductory,English,Economics & Finance
16,Data Science: R Basics,$49 ,"528,782",Introductory,English,Data Analysis & Statistics
17,Python Basics for Data Science,$39 ,"228,809",Introductory,English,Data Analysis & Statistics
18,The Science of Beer,$49 ,"39,085",Introductory,English,Food & Nutrition
19,Strategic Social Media Marketing,$399 ,"103,640",Advanced,English,Business & Management
20,CS50's Introduction to Artificial Intelligence with Python,$199 ,"258,006",Introductory,English,Computer Science
21,CS50's Introduction to Game Development,$149 ,"346,748",Intermediate,English,Computer Science
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,$99 ,"320,225",Introductory,English,Humanities
23,CS50's Web Programming with Python and JavaScript,$90 ,"698,950",Intermediate,English,Computer Science
24,Contract Law: From Trust to Promise to Contract,$125 ,"414,181",Intermediate,English,Business & Management
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",$99 ,"380,167",Introductory,English,Biology & Life Sciences
26,Justice,$99 ,"392,588",Introductory,English,Humanities
27,Data Science: Machine Learning,$49 ,"276,209",Introductory,English,Data Analysis & Statistics
28,Child Protection: Children's Rights in Theory and Practice,$99 ,"212,453",Introductory,English,Social Sciences
29,IELTS Academic Test Preparation,$99 ,"1,103,777",Introductory,English,Communication
30,The Architectural Imagination,$99 ,"406,181",Introductory,English,Architecture
31,TOEFL® Test Preparation: The Insider’s Guide,$49 ,"1,022,489",Introductory,English,Communication
32,Principles of Biochemistry,$199 ,"257,600",Intermediate,English,Medicine
33,Using Python for Research,$99 ,"262,183",Intermediate,English,Computer Science
34,Hinduism Through Its Scriptures,$99 ,"140,782",Introductory,English,Humanities
35,Basic Spanish 1: Getting Started,$40 ,"400,169",Introductory,English,Communication
36,The Health Effects of Climate Change,$99 ,"110,024",Introductory,English,Environmental Studies
37,Inglés básico: conversacional y networking,$49 ,"79,671",Introductory,Español,Business & Management
38,Statistics and R,$249 ,"314,586",Intermediate,English,Data Analysis & Statistics
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),$199 ,"145,011",Introductory,English,Chemistry
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,$99 ,"123,870",Introductory,English,Art & Culture
41,"PredictionX: Omens, Oracles & Prophecies",$25 ,"91,566",Introductory,English,Social Sciences
42,Excel: Fundamentos y herramientas,$50 ,"284,279",Introductory,Español,Computer Science
43,Lessons from Ebola: Preventing the Next Pandemic,$49 ,"91,983",Introductory,English,Social Sciences
44,Improving Global Health: Focusing on Quality and Safety,$99 ,"127,353",Intermediate,English,Social Sciences
45,CS50 for Lawyers,$99 ,"87,336",Introductory,English,Computer Science
46,Data Science: Visualization,$49 ,"171,258",Introductory,English,Data Analysis & Statistics
47,Christianity Through Its Scriptures,$99 ,"125,051",Introductory,English,Humanities
48,The Science of Happiness,$169 ,"475,614",Introductory,English,Social Sciences
49,Leaders of Learning,$99 ,"231,131",Introductory,English,Communication
50,Exercising Leadership: Foundational Principles,$99 ,"57,814",Introductory,English,Business & Management
51,Data Science: Probability,$49 ,"135,859",Introductory,English,Data Analysis & Statistics
52,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,$70 ,"117,410",Intermediate,English,Education & Teacher Training
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",$99 ,"80,082",Introductory,English,Medicine
54,Introduction to Family Engagement in Education,$70 ,"105,146",Introductory,English,Education & Teacher Training
55,Italian Language and Culture: Beginner (2019-2020),$49 ,"182,462",Introductory,Italiano,Language
56,Steps in Japanese for Beginners1 Part1,$49 ,"53,630",Introductory,English,Language
57,How to Write an Essay,$49 ,"306,787",Introductory,English,Humanities
58,Energy Within Environmental Constraints,$99 ,"95,324",Introductory,English,Environmental Studies
59,Introduction to Probability,$99 ,"97,291",Intermediate,English,Data Analysis & Statistics
60,AnatomyX: Musculoskeletal Cases,$99 ,"102,075",Intermediate,English,Medicine
61,Data Science: Inference and Modeling,$49 ,"88,256",Introductory,English,Data Analysis & Statistics
62,Strengthening Community Health Worker Programs,$79 ,"58,626",Introductory,English,Health & Safety
63,Buddhism Through Its Scriptures,$99 ,"182,295",Introductory,English,Humanities
64,Introduction to Linux,$199 ,"642,088",Introductory,English,Computer Science
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",$99 ,"81,221",Introductory,English,Medicine
66,Shakespeare's Life and Work,$49 ,"48,938",Introductory,English,Humanities
67,Marketing Digital: Content & Community Manager,$49 ,"112,623",Introductory,Español,Communication
68,Accounting and Finance,$150 ,"88,243",Intermediate,English,Business & Management
69,Computing in Python I: Fundamentals and Procedural Programming,$99 ,"141,966",Introductory,English,Computer Science
70,"Nutrition, Exercise and Sports",$49 ,"51,679",Intermediate,English,Food & Nutrition
71,Becoming an Entrepreneur,$69 ,"104,760",Introductory,English,Business & Management
72,"Religion, Conflict and Peace",$49 ,"74,060",Introductory,English,Humanities
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",$49 ,"61,139",Introductory,English,Humanities
74,Academic and Business Writing,$49 ,"322,701",Introductory,English,Communication
75,Data Science: Capstone,$99 ,"62,803",Introductory,English,Data Analysis & Statistics
76,Basics of Computing and Programming,$200 ,"37,045",Introductory,English,Computer Science
77,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",$99 ,"84,874",Introductory,English,Biology & Life Sciences
78,Successful Negotiation: Essential Strategies and Skills,$49 ,"31,369",Introductory,English,Business & Management
79,Data Science: Linear Regression,$49 ,"75,310",Introductory,English,Data Analysis & Statistics
80,HTML5 and CSS Fundamentals,$199 ,"335,895",Introductory,English,Computer Science
81,Data Science: Productivity Tools,$49 ,"66,683",Introductory,English,Data Analysis & Statistics
82,Introduction to Corporate Finance,$225 ,"98,093",Introductory,English,Business & Management
83,Computer Science 101,$149 ,"39,540",Introductory,English,Computer Science
84,Data Science: Wrangling,$49 ,"64,584",Introductory,English,Data Analysis & Statistics
85,A Hands-on Introduction to Engineering Simulations,$199 ,"187,138",Intermediate,English,Engineering
86,AI for Everyone: Master the Basics,$49 ,"49,340",Introductory,English,Computer Science
87,The Psychology of Criminal Justice,$99 ,"110,086",Introductory,English,Humanities
88,Machine Learning with Python: A Practical Introduction,$39 ,"80,161",Introductory,English,Data Analysis & Statistics
89,Analyzing Data with Python,$39 ,"94,079",Introductory,English,Data Analysis & Statistics
90,Excel: gestión de datos,$75 ,"111,785",Intermediate,Español,Computer Science
91,Probability - The Science of Uncertainty and Data,$300 ,"205,615",Advanced,English,Data Analysis & Statistics
92,"Fundamentals of Neuroscience, Part 3: The Brain",$99 ,"85,034",Introductory,English,Biology & Life Sciences
93,Sikhism Through Its Scriptures,$99 ,"44,125",Introductory,English,Humanities
94,Upper-Intermediate English: Business and Modern Life,$50 ,"77,991",Intermediate,English,Language
96,Religious Literacy: Traditions and Scriptures,$99 ,"96,972",Introductory,English,Humanities
97,Programación para todos (empezando con Python),$49 ,"81,004",Introductory,Español,Computer Science
98,Analyzing and Visualizing Data with Power BI,$99 ,"28,879",Introductory,English,Data Analysis & Statistics
99,High-Dimensional Data Analysis,$149 ,"78,443",Advanced,English,Data Analysis & Statistics
100,Introduction To Music Theory,$49 ,"67,029",Introductory,English,Humanities
101,Human Anatomy,$139 ,"126,850",Introductory,English,Medicine
102,"CitiesX: The Past, Present and Future of Urban Life",$99 ,"76,874",Introductory,English,Social Sciences
103,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,$99 ,"24,208",Introductory,English,Philosophy & Ethics
104,Entrepreneurship 101: Who is your customer?,$49 ,"41,838",Introductory,English,Business & Management
105,"U.S. Public Policy: Social, Economic, and Foreign Policies",$49 ,"44,045",Introductory,English,Social Sciences
106,Machine Learning with Python: from Linear Models to Deep Learning,$300 ,"85,561",Advanced,English,Computer Science
107,Introduction to Data Science,$39 ,"43,766",Introductory,English,Data Analysis & Statistics
108,Circuits and Electronics 1: Basic Circuit Analysis,$169 ,"52,639",Introductory,English,Electronics
109,Introduction to Investments,$50 ,"91,788",Intermediate,English,Business & Management
110,Improving Your Business Through a Culture of Health,$99 ,"54,136",Introductory,English,Business & Management
111,Introduction to Linear Models and Matrix Algebra,$149 ,"92,004",Intermediate,English,Math
112,DO Your Venture: Entrepreneurship For Everyone,$150 ,"61,989",Introductory,English,Business & Management
113,El valor de la creatividad y la innovación: La Economía Naranja,$25 ,"23,728",Introductory,Español,Art & Culture
114,Humanitarian Response to Conflict and Disaster,$99 ,"119,891",Introductory,English,Health & Safety
115,"Women Making History: Ten Objects, Many Stories",$99 ,"38,939",Introductory,English,History
116,Masterpieces of World Literature,$149 ,"88,789",Introductory,English,Literature
117,SQL for Data Science,$39 ,"39,184",Introductory,English,Data Analysis & Statistics
118,El cerebro y las emociones en el lenguaje,$49 ,"41,279",Introductory,Español,Communication
119,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),$169 ,"62,673",Introductory,English,Physics
120,Python: aprender a programar,$49 ,"21,613",Introductory,Español,Computer Science
121,Marketing Analytics: Competitive Analysis and Market Segmentation,$249 ,"70,682",Intermediate,English,Computer Science
122,MalariaX: Defeating Malaria from the Genes to the Globe,$49 ,"37,598",Intermediate,English,Biology & Life Sciences
123,Entrepreneurship in Emerging Economies,$125 ,"113,602",Introductory,English,Business & Management
124,JavaScript Introduction,$199 ,"160,112",Introductory,English,Computer Science
125,People Management,$150 ,"113,592",Introductory,English,Business & Management
126,Using Email for Networking in English,$149 ,"57,208",Introductory,English,Language
127,Databases: Relational Databases and SQL,$50 ,"20,502",Introductory,English,Computer Science
128,C Programming: Getting Started,$49 ,"104,108",Introductory,English,Computer Science
129,Supply Chain Analytics,$199 ,"145,049",Introductory,English,Business & Management
130,Programming for the Web with JavaScript,$149 ,"91,406",Intermediate,English,Computer Science
131,Introduction to Digital Humanities,$99 ,"37,501",Introductory,English,Humanities
132,Upper-Intermediate English: Business and Industry,$50 ,"103,704",Intermediate,English,Language
133,EmSAT English Preparation - Level 1,$49 ,"29,101",Introductory,English,Language
134,Python for Data Science,$350 ,"266,978",Advanced,English,Data Analysis & Statistics
135,Empathy and Emotional Intelligence at Work,$199 ,"45,867",Introductory,English,Business & Management
136,Design Thinking and Creativity for Innovation,$5 ,"47,549",Intermediate,English,Business & Management
137,China and Communism,$139 ,"69,104",Introductory,English,History
138,Mandarin Chinese Level 1,$149 ,"56,040",Introductory,English,Language
139,Introduction to Biology - The Secret of Life,$150 ,"147,512",Introductory,English,Biology & Life Sciences
140,Photoshop: una herramienta para presentaciones innovadoras,$19 ,"22,969",Introductory,Español,Art & Culture
141,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,$99 ,"50,949",Introductory,English,Data Analysis & Statistics
142,生活英语听说 | Conversational English Skills,$49 ,"301,585",Introductory,English,Communication
143,Shakespeare’s Othello: The Moor,$49 ,"31,868",Introductory,English,Humanities
144,Basic Spanish 2: One Step Further,$50 ,"67,687",Introductory,English,Language
145,Financial Market Analysis,$25 ,"37,452",Intermediate,English,Economics & Finance
146,CS50's Computer Science for Business Professionals,$90 ,"73,208",Introductory,English,Computer Science
147,Gobierno Digital,$25 ,"18,883",Introductory,Español,Social Sciences
148,Upper-Intermediate English: Business and Globalization,$50 ,"58,532",Intermediate,English,Language
149,The Opioid Crisis in America,$99 ,"54,805",Introductory,English,Medicine
150,Gestión de Proyectos de Desarrollo,$49 ,"306,286",Introductory,Español,Business & Management
151,Statistical Learning,$50 ,"27,968",Introductory,English,Data Analysis & Statistics
152,Introduction to Social Psychology,$99 ,"79,365",Introductory,English,Humanities
153,Artificial Intelligence (AI),$249 ,"265,104",Advanced,English,Computer Science
154,American Government: Constitutional Foundations,$49 ,"35,504",Introductory,English,Social Sciences
155,Introducción a la inversión bursátil,$50 ,"64,261",Introductory,Español,Economics & Finance
156,Japanese Books: From Manuscript to Print,$100 ,"17,581",Introductory,English,Art & Culture
157,Foundations of Modern Finance  I,$450 ,"24,108",Advanced,English,Economics & Finance
158,Operations Management,$150 ,"126,093",Intermediate,English,Business & Management
159,Marketing Management,$150 ,"80,010",Intermediate,English,Business & Management
160,Marketing enfocado en la estrategia de servicios,$119 ,"24,618",Introductory,Español,Business & Management
161,Introduction to Marketing,$150 ,"169,126",Introductory,English,Business & Management
162,Programming Basics,$149 ,"215,059",Introductory,English,Computer Science
163,Probability and Statistics in Data Science using Python,$350 ,"106,286",Advanced,English,Data Analysis & Statistics
164,HTML5 Coding Essentials and Best Practices,$199 ,"241,287",Intermediate,English,Computer Science
165,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,$49 ,"37,426",Introductory,English,Humanities
166,Cell Biology: Mitochondria,$99 ,"64,142",Introductory,English,Biology & Life Sciences
167,"Algorithms: Design and Analysis, Part 1",$149 ,"20,163",Intermediate,English,Computer Science
168,Introducción al Office 365,$75 ,"16,470",Introductory,Español,Computer Science
169,Creative Thinking: Techniques and Tools for Success,$49 ,"54,787",Introductory,English,Humanities
170,Upper-Intermediate English: Business and Technology,$50 ,"47,451",Intermediate,English,Language
171,Shakespeare's Hamlet: The Ghost,$49 ,"38,331",Introductory,English,Humanities
172,FlashDiet: Aprende a comer sano,$50 ,"48,105",Introductory,Español,Food & Nutrition
173,CS50's Understanding Technology,$90 ,"50,030",Introductory,English,Computer Science
174,Introduction to Aerospace Structures and Materials,$50 ,"37,126",Introductory,English,Engineering
175,Visualizing Data with Python,$39 ,"42,101",Intermediate,English,Data Analysis & Statistics
176,Success: Practical Thinking Skills,$50 ,"24,414",Introductory,English,Philosophy & Ethics
177,English for Doing Business in Asia – Speaking,$60 ,"68,422",Introductory,English,Humanities
178,Nutrition and Health: Macronutrients and Overnutrition,$99 ,"208,582",Introductory,English,Biology & Life Sciences
179,"Contemporary China: The People's Republic, Taiwan, and Hong Kong",$139 ,"66,771",Introductory,English,History
180,Introduction to Clinical Psychology,$99 ,"57,234",Introductory,English,Humanities
181,Modern Masterpieces of World Literature,$99 ,"48,049",Introductory,English,Literature
182,"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",$49 ,"24,259",Introductory,English,Social Sciences
183,Applied Scrum for Agile Project Management,$199 ,"55,293",Advanced,English,Engineering
184,Corporate Finance,$150 ,"62,798",Intermediate,English,Business & Management
185,Judaism Through Its Scriptures,$99 ,"50,540",Introductory,English,Humanities
186,Excel avanzado: importación y análisis de datos,$75 ,"47,184",Advanced,Español,Data Analysis & Statistics
187,CSS Basics,$199 ,"95,163",Introductory,English,Computer Science
188,Unlocking Information Security: Part I,$149 ,"19,905",Intermediate,English,Computer Science
189,Becoming an Effective Leader,$99 ,"55,937",Intermediate,English,Communication
190,Digital Branding and Engagement,$99 ,"122,977",Intermediate,English,Communication
191,Introduction to Cybersecurity,$199 ,"73,021",Introductory,English,Computer Science
192,General Academic English|生活英语进阶,$49 ,"17,526",Introductory,English,Language
193,Gestión de personas: Recursos Humanos,$119 ,"19,687",Introductory,Español,Business & Management
194,From Poverty to Prosperity: Understanding Economic Development,$149 ,"91,062",Intermediate,English,Social Sciences
195,Medical Terminology,$79 ,"31,354",Introductory,English,Biology & Life Sciences
196,Ancient Masterpieces of World Literature,$99 ,"48,899",Introductory,English,Literature
197,Shakespeare's The Merchant of Venice: Shylock,$49 ,"23,283",Introductory,English,Humanities
198,Gestión del estrés y Mindfulness,$49 ,"15,965",Introductory,Español,Health & Safety
199,Behavioural Economics in Action,$139 ,"66,764",Introductory,English,Business & Management
200,Finance for Everyone: Smart Tools for Decision-Making,$49 ,"45,029",Introductory,English,Business & Management
201,Creating Innovative Business Models,$149 ,"12,227",Introductory,English,Business & Management
202,u.lab: Leading From the Emerging Future,$99 ,"79,424",Introductory,English,Business & Management
203,Electric Cars: Introduction,$50 ,"56,171",Intermediate,English,Engineering
204,Inteligencia Artificial para todos: Domina los fundamentos,$49 ,"11,764",Introductory,Español,Computer Science
205,Marketing Analytics,$249 ,"55,228",Advanced,English,Business & Management
206,Introducción a la Regulación Emocional basada en Mindfulness,$49 ,"20,634",Introductory,Español,Health & Safety
207,Design Thinking Fundamentals,$299 ,"56,446",Intermediate,English,Business & Management
208,Basic Spanish 3: Getting there,$50 ,"17,569",Introductory,English,Language
209,Mi propia huerta orgánica,$29 ,"11,346",Introductory,Español,Biology & Life Sciences
210,Sustainability in Architecture: An Interdisciplinary Introduction,$50 ,"31,352",Intermediate,English,Architecture
211,Gestión de riesgos en proyectos de desarrollo,$25 ,"47,676",Intermediate,Español,Business & Management
212,Python Data Structures,$49 ,"36,369",Introductory,English,Computer Science
213,The Science and Business of Biotechnology,$49 ,"17,039",Intermediate,English,Business & Management
214,Finance Essentials,$79 ,"63,666",Introductory,English,Business & Management
215,Introduction to the Internet of Things (IoT),$149 ,"89,421",Introductory,English,Computer Science
216,'Talk to me': Improving mental health and suicide prevention in young adults,$139 ,"11,481",Introductory,English,Health & Safety
217,Disaster Medicine Training,$50 ,"10,937",Introductory,English,Medicine
218,Nutrition and Health: Human Microbiome,$49 ,"44,079",Introductory,English,Health & Safety
219,Customer Relationship Management,$50 ,"53,085",Intermediate,English,Business & Management
220,Islam Through Its Scriptures,$99 ,"65,430",Introductory,English,Humanities
221,Mechatronics Revolution: Fundamentals and Core Concepts,$149 ,"11,619",Introductory,English,Engineering
222,Accounting for Decision-Making,$150 ,"57,710",Intermediate,English,Business & Management
223,C Programming: Language Foundations,$49 ,"46,400",Introductory,English,Computer Science
224,Big Data sin misterios,$25 ,"65,564",Intermediate,Español,Data Analysis & Statistics
225,Becoming a Successful Leader (Inclusive Leadership Training),$49 ,"215,705",Introductory,English,Communication
226,"English for Journalists, Part 1",$139 ,"50,847",Intermediate,English,Communication
227,Introduction to Networking,$150 ,"16,134",Introductory,English,Computer Science
228,Accounting Essentials,$79 ,"58,463",Introductory,English,Business & Management
229,Introduction to Java Programming: Starting to code in Java,$149 ,"325,554",Introductory,English,Computer Science
230,European Paintings: From Leonardo to Rembrandt to Goya,$99 ,"60,734",Introductory,English,Humanities
231,Java Programming Fundamentals,$49 ,"12,042",Intermediate,English,Engineering
232,"Hollywood: History, Industry, Art",$169 ,"50,033",Introductory,English,Communication
233,Data Science Tools,$39 ,"15,627",Introductory,English,Data Analysis & Statistics
234,Statistical Thinking for Data Science and Analytics,$99 ,"198,861",Introductory,English,Computer Science
235,Philosophy and Critical Thinking,$99 ,"97,175",Introductory,English,Humanities
236,International Law,$150 ,"91,868",Advanced,English,Law
237,Tourism and Travel Management,$5 ,"38,503",Introductory,English,Business & Management
238,Project Management Life Cycle,$150 ,"120,019",Intermediate,English,Business & Management
239,Solar Energy,$50 ,"125,069",Introductory,English,Engineering
240,Public Speaking,$199 ,"10,129",Introductory,English,Communication
241,Japanese Pronunciation for Communication,$99 ,"62,757",Introductory,日本語,Communication
242,Mindfulness and Resilience to Stress at Work,$199 ,"33,414",Introductory,English,Business & Management
243,Framing Your Communication to Inspire and Convince,$125 ,"49,351",Intermediate,English,Business & Management
244,Business Foundations,$150 ,"55,154",Introductory,English,Business & Management
245,The Chemistry of Life,$49 ,"78,704",Introductory,English,Biology & Life Sciences
246,Nutrition and Health: Micronutrients and Malnutrition,$99 ,"78,266",Intermediate,English,Biology & Life Sciences
247,Digital Design,$50 ,"12,339",Introductory,English,Design
248,Machine Learning for Data Science and Analytics,$99 ,"140,419",Introductory,English,Computer Science
249,The Science of Everyday Thinking,$99 ,"318,399",Introductory,English,Business & Management
250,Gestion de projets de développement,$25 ,"41,663",Intermediate,Français,Business & Management
251,Product Management Fundamentals,$199 ,"11,913",Introductory,English,Business & Management
252,International Human Rights Law,$150 ,"74,424",Advanced,English,Law
253,The Best Start in Life: Early Childhood Development for Sustainable Development,$49 ,"23,139",Intermediate,English,Education & Teacher Training
254,Data Science and Machine Learning Capstone Project,$99 ,"21,809",Intermediate,English,Data Analysis & Statistics
255,"Data Science for Construction, Architecture and Engineering",$199 ,"11,113",Introductory,English,Data Analysis & Statistics
256,"Nutrition, Heart Disease and Diabetes",$99 ,"24,986",Intermediate,English,Food & Nutrition
257,Project Management for Development,$49 ,"62,099",Intermediate,English,Business & Management
258,Introduction to Cloud Infrastructure Technologies,$169 ,"86,923",Introductory,English,Computer Science
259,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",$65 ,"13,566",Introductory,English,Art & Culture
260,Machine Learning,$249 ,"150,855",Advanced,English,Computer Science
261,Introducción a la gestión de proyectos,$50 ,"98,517",Introductory,Español,Business & Management
262,Free Cash Flow Analysis,$225 ,"36,085",Introductory,English,Business & Management
263,Lean Production,$99 ,"55,926",Introductory,English,Business & Management
264,Introduction to Algebra,$139 ,"131,197",Introductory,English,Math
265,"LaTeX for Students, Engineers, and Scientists",$139 ,"11,823",Introductory,English,Engineering
266,Leading With Effective Communication (Inclusive Leadership Training),$50 ,"107,770",Introductory,English,Communication
267,Anatomy: Musculoskeletal and Integumentary Systems,$49 ,"51,969",Introductory,English,Biology & Life Sciences
268,"Inglés empresarial: ventas, gestión y liderazgo",$49 ,"10,897",Introductory,English,Business & Management
269,Business Strategy from Wharton: Competitive Advantage,$199 ,"26,675",Intermediate,English,Business & Management
270,Inteligencia emocional para el liderazgo efectivo y colaboración,$49 ,"14,726",Introductory,Español,Social Sciences
271,Introducción al desarrollo de aplicaciones web,$49 ,"27,757",Introductory,Español,Computer Science
272,"Six Sigma: Analyze, Improve, Control",$99 ,"56,016",Introductory,English,Business & Management
273,Introducción a la inteligencia emocional,$49 ,"18,830",Introductory,Español,Social Sciences
274,AP® Microeconomics,$49 ,"53,664",Introductory,English,Economics & Finance
275,Engineering Calculus and Differential Equations,$50 ,"21,535",Introductory,English,Math
276,Linear Algebra - Foundations to Frontiers,$49 ,"88,570",Intermediate,English,Computer Science
277,Habilidades de negociación y comunicación efectiva,$149 ,"19,614",Introductory,Español,Business & Management
278,Effective Communication for Today's Leader,$149 ,"8,862",Intermediate,English,Business & Management
279,Electric Cars: Technology,$50 ,"40,972",Intermediate,English,Engineering
280,Site Planning Online,$99 ,"12,948",Intermediate,English,Design
281,Macroeconometric Forecasting,$25 ,"69,358",Intermediate,English,Economics & Finance
282,Administración pública y fiscal: cómo se gestiona un gobierno,$25 ,"49,189",Introductory,Español,Economics & Finance
283,Fundamentals of Red Hat Enterprise Linux,$99 ,"53,788",Introductory,English,Computer Science
284,Algorithms,$149 ,"61,722",Intermediate,English,Computer Science
285,Calculus Applied!,$99 ,"54,976",Intermediate,English,Math
286,Precalculus,$49 ,"55,576",Intermediate,English,Math
287,Fundamentos de anatomía y técnica quirúrgica básica,$49 ,"12,133",Introductory,Español,Medicine
288,Business Communications,$150 ,"60,713",Introductory,English,Business & Management
289,Italian Language and Culture: Intermediate (2019-2020),$49 ,"35,058",Intermediate,Italiano,Language
290,International Women's Health and Human Rights,$50 ,"9,796",Introductory,English,Social Sciences
291,Blockchain: Understanding Its Uses and Implications,$199 ,"66,769",Introductory,English,Business & Management
292,"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",$49 ,"22,366",Intermediate,English,Math
293,Blockchain Technology,$99 ,"55,376",Intermediate,English,Computer Science
294,Basics of Power BI,$49 ,"8,314",Introductory,English,Data Analysis & Statistics
295,Preparing to Network in English,$149 ,"34,337",Introductory,English,Language
296,Mandarin Chinese Essentials,$99 ,"36,665",Introductory,English,Language
297,Human Rights: The Rights of Refugees,$49 ,"84,270",Introductory,English,Humanities
298,What do Architects and Urban Planners do?,$49 ,"11,046",Introductory,English,Architecture
299,"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",$49 ,"22,723",Introductory,English,Social Sciences
300,Negotiation Skills and Effective Communication,$149 ,"8,146",Intermediate,English,Business & Management
301,AP® English Literature & Composition – Part 1: Stories,$49 ,"15,650",Introductory,English,Humanities
302,"Viruses & How to Beat Them: Cells, Immunity, Vaccines",$149 ,"28,710",Introductory,English,Medicine
303,Alianzas: un vehículo para lograr el desarrollo sostenible,$25 ,"17,554",Introductory,Español,Social Sciences
304,Designing and Creating Skirts,$99 ,"13,954",Introductory,English,Design
305,Cómo Aprender Online,$49 ,"7,958",Introductory,Español,Education & Teacher Training
306,Computing in Python II: Control Structures,$99 ,"31,511",Introductory,English,Computer Science
307,Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,$49 ,"29,614",Introductory,Español,Communication
308,Machine Learning Fundamentals,$350 ,"82,008",Advanced,English,Data Analysis & Statistics
309,Pre-University Calculus,$50 ,"103,224",Introductory,English,Math
310,Tsinghua Chinese: Start Talking with 1.3 Billion People,$49 ,"58,834",Introductory,English,Language
311,Deep Learning with Python and PyTorch,$99 ,"36,195",Intermediate,English,Data Analysis & Statistics
312,Diseña presentaciones eficaces con Powerpoint,$50 ,"36,663",Introductory,Español,Computer Science
313,World of Wine: From Grape to Glass,$199 ,"81,839",Introductory,English,Science
314,Sustainable Cities,$49 ,"16,619",Intermediate,English,Environmental Studies
315,Introduction to Developmental Psychology,$99 ,"38,060",Introductory,English,Humanities
316,Creativity & Entrepreneurship,$49 ,"69,413",Introductory,English,Business & Management
317,College Algebra and Problem Solving,$49 ,"103,010",Introductory,English,Math
318,Academic writing for clarity and meaning,$49 ,"16,220",Introductory,English,Education & Teacher Training
319,Financial Development and Financial Inclusion,$25 ,"13,853",Intermediate,English,Economics & Finance
320,Global Public Health,$49 ,"17,273",Intermediate,English,Health & Safety
321,Embedded Systems - Shape The World: Microcontroller Input/Output,$49 ,"69,182",Intermediate,English,Computer Science
322,Introduction to Animal Behaviour,$49 ,"42,135",Introductory,English,Biology & Life Sciences
323,Circular Economy: An Introduction,$50 ,"50,240",Introductory,English,Business & Management
324,Public Financial Management,$25 ,"23,288",Intermediate,English,Economics & Finance
325,Anatomy: Human Neuroanatomy,$49 ,"49,319",Introductory,English,Biology & Life Sciences
326,Android: Introducción a la Programación,$50 ,"85,786",Introductory,Español,Computer Science
327,The Ancient Greek Hero,$99 ,"51,744",Introductory,English,Humanities
328,Agile Leadership Principles and Practices,$199 ,"31,838",Advanced,English,Engineering
329,How to Code: Simple Data,$125 ,"98,113",Introductory,English,Computer Science
330,Cybersecurity and Privacy in the IoT,$199 ,"21,440",Introductory,English,Computer Science
331,Strategic Management,$150 ,"71,085",Introductory,English,Business & Management
332,Introducción a la ciencia de datos y sus aplicaciones,$39 ,"7,303",Introductory,Español,Data Analysis & Statistics
333,"Biochemistry: Biomolecules, Methods, and Mechanisms",$150 ,"18,692",Intermediate,English,Biology & Life Sciences
334,Astronomía Virtual,$29 ,"10,500",Introductory,Español,Science
