,title,price,n_enrolled,Level,language,subject
757,Introduction to Statistical Methods for Gene Mapping,$49 ,"15,419",Advanced,English,Data Analysis & Statistics
758,Cómo vivir una vida saludable y activa,$49 ,"8,990",Introductory,Español,Social Sciences
759,Mandarin Chinese Level 3,$149 ,"8,418",Intermediate,English,Language
760,Databases: Advanced Topics in SQL,$50 ,,Introductory,English,Computer Science
761,Data for Effective Policy Making,$25 ,"13,797",Introductory,English,Math
762,C Programming: Using Linux Tools and Libraries,$49 ,"13,912",Intermediate,English,Computer Science
763,Lernen objekt-orientierter Programmierung,$49 ,"10,657",Introductory,Deutsch,Computer Science
764,Cybersecurity: The CISO's View,$199 ,"21,507",Introductory,English,Computer Science
765,Fundamentals of Java EE Development,$99 ,"10,129",Intermediate,English,Computer Science
766,"Instructional Design: Digital Media, New Tools and Technology",$299 ,"16,419",Intermediate,English,Education & Teacher Training
767,Molecular Biology – Part 3: RNA Processing and Translation,$99 ,"16,520",Advanced,English,Biology & Life Sciences
768,Power and Responsibility: Doing Philosophy with Superheroes,$49 ,"8,517",Introductory,English,Art & Culture
769,Aprendizaje automático y ciencia de datos,$50 ,"13,994",Intermediate,Español,Computer Science
770,Sustainable Urban Freight Transport: A Global Perspective,$50 ,"7,769",Introductory,English,Engineering
771,MathTrackX: Statistics,$79 ,,Introductory,English,Math
772,Técnicas Cuantitativas y Cualitativas para la Investigación,$65 ,"29,885",Intermediate,Español,Data Analysis & Statistics
773,Strategic Applications of IT Project & Program Management,$199 ,"17,914",Introductory,English,Business & Management
774,Advanced Bioconductor,$149 ,"26,063",Advanced,English,Data Analysis & Statistics
775,What Every Provider Should Know: Clinical Fundamentals,$50 ,,Introductory,English,Medicine
776,Análisis e interpretación de información económica y financiera,$49 ,"5,891",Intermediate,Español,Economics & Finance
777,AWS IoT: Developing and Deploying an Internet of Things,$99 ,"8,884",Intermediate,English,Computer Science
778,Measuring Sustainable Development,$25 ,,Intermediate,English,Data Analysis & Statistics
779,Embedded Systems - Shape The World: Multi-Threaded Interfacing,$49 ,"27,814",Intermediate,English,Computer Science
780,Hong Kong Cinema through a Global Lens | 全球化下的香港电影,$50 ,"12,458",Introductory,English,Humanities
781,Image Processing and Analysis for Life Scientists,$199 ,"8,621",Intermediate,English,Data Analysis & Statistics
782,La protección del menor,$49 ,"7,654",Introductory,Español,Law
783,Globalization: Past and Future,$25 ,"10,127",Introductory,English,History
784,Star Trek: Inspiring Culture and Technology,$40 ,"6,521",Introductory,English,History
785,Qué funciona en educación: políticas educativas basadas en evidencia,$25 ,"15,701",Introductory,Español,Education & Teacher Training
786,"Introduction to Cloud Development with HTML5, CSS3, and JavaScript",$99 ,,Introductory,English,Computer Science
787,Tools for Academic Engagement in Public Policy,$199 ,"5,035",Introductory,English,Communication
788,Theory of Change for Development,$199 ,"10,736",Introductory,English,Social Sciences
789,Monozukuri: Making Things,$49 ,,Introductory,English,Engineering
790,Drug Discovery & Medicinal Chemistry,$99 ,,Intermediate,English,Medicine
791,Digital Biomaterials,$149 ,,Introductory,English,Medicine
792,Natural Resources for Sustainable Development,$49 ,"9,668",Intermediate,English,Energy & Earth Sciences
793,Omnichannel Strategy and Management,$99 ,"15,860",Intermediate,English,Business & Management
794,General Overview of Cannabis and the Industry’s Outlook and Professions,$199 ,"5,048",Introductory,English,Environmental Studies
795,Amazon SageMaker: Simplifying Machine Learning Application Development,$99 ,"11,765",Intermediate,English,Computer Science
796,Formulación y nomenclatura de compuestos químicos,$49 ,"12,748",Introductory,Español,Chemistry
797,Introducción a la factura electrónica,$49.90 ,"5,829",Intermediate,Español,Economics & Finance
798,Demand and Supply Analytics,$249 ,"23,585",Intermediate,English,Business & Management
799,Advanced Algorithmics and Graph Theory with Python,$49 ,"13,502",Intermediate,English,Computer Science
800,Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,$59 ,,Intermediate,English,Architecture
801,Diagramas UML estructurales para la Ingeniería del Software,$50 ,"5,820",Introductory,Español,Computer Science
802,"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",$49 ,"6,232",Intermediate,English,Math
803,Fundamentos de Mecánica para Ingeniería,$49 ,"14,219",Introductory,Español,Physics
804,Leadership and Management for PM Practitioners in IT,$199 ,"21,949",Introductory,English,Business & Management
805,Entrepreneurship 103: Show Me The Money,$300 ,"15,184",Introductory,English,Business & Management
806,Historia de la ética,$29 ,"9,383",Introductory,Español,Philosophy & Ethics
807,Drainage in Agriculture: controlling water and salt levels in the soil,$49 ,,Advanced,English,Environmental Studies
808,Radio para internet con Podcast: creación y conceptos básicos,$50 ,"6,460",Introductory,Español,Communication
809,Introducción a los circuitos eléctricos,$49 ,"11,953",Intermediate,Español,Electronics
810,AP® Physics 1: Challenging Concepts,$49 ,"12,145",Introductory,English,Physics
811,Introduction to Java Programming – Part 2,$99 ,"71,203",Introductory,English,Computer Science
812,AP® Macroeconomics,$49 ,"29,433",Introductory,English,Economics & Finance
813,Climate Change Education,$25 ,"12,056",Introductory,English,Education & Teacher Training
814,"Introducción al griego clásico: verbos, oraciones y filosofía",$49 ,,Introductory,Español,Language
815,Applied Deep Learning Capstone Project,$99 ,"8,429",Advanced,English,Data Analysis & Statistics
816,FinTech Ethics and Risks,$199 ,"10,696",Introductory,English,Economics & Finance
817,User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,$139 ,"23,828",Advanced,English,Engineering
818,The Conquest of Space: Space Exploration and Rocket Science,$129 ,"19,926",Introductory,English,Engineering
819,Business Strategy and Operations in a Biobased Economy,$149 ,,Advanced,English,Business & Management
820,What Works in Education: Evidence-Based Education Policies,$25 ,"5,540",Introductory,English,Education & Teacher Training
821,Electric Cars: Business,$50 ,"14,199",Intermediate,English,Business & Management
822,Thermodynamics of Materials,$150 ,,Intermediate,English,Engineering
823,Mechanics: Momentum and Energy,$49 ,"14,846",Intermediate,English,Physics
824,Co-Creating Sustainable Cities,$49 ,"12,415",Advanced,English,Social Sciences
825,Cómo educar teniendo en cuenta la muerte,$49 ,,Introductory,Español,Education & Teacher Training
826,Introduction to Animal Ethics,$49 ,"6,608",Introductory,English,Philosophy & Ethics
827,Teamwork & Collaboration,$199 ,,Introductory,English,Communication
828,Grant Writing and Crowdfunding for Public Libraries,$49 ,"12,853",Introductory,English,Humanities
829,Leading Ambitious Teaching and Learning,$199 ,"24,273",Advanced,English,Education & Teacher Training
830,Financing Innovative Ventures,$149 ,,Introductory,English,Business & Management
831,"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",$49 ,,Intermediate,English,Math
832,Theories of Media and Technology,$249 ,,Introductory,English,Art & Culture
833,Introducción a la Estructura de la Materia,$25 ,"11,859",Introductory,Español,Chemistry
834,"Batteries, Fuel Cells, and their Role in Modern Society",$49 ,"11,865",Introductory,English,Science
835,Communication Skills for Dialoguing Across Difference,$25 ,"60,943",Introductory,English,Communication
836,Social Media: How Media Got Social,$139 ,"13,616",Introductory,English,Communication
837,"Portfolio Management, Governance, & the PMO",$199 ,"17,299",Introductory,English,Business & Management
838,edX101: Overview of Creating an edX Course,$99 ,"22,327",Introductory,English,Education & Teacher Training
839,"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",$49 ,,Introductory,Español,Education & Teacher Training
840,Data Analysis for Decision Making,$214 ,"8,342",Advanced,English,Business & Management
841,UML Class Diagrams for Software Engineering,$49 ,"33,710",Introductory,English,Computer Science
842,Driving Digital Innovation through Experimentation,$399 ,"16,904",Advanced,English,Computer Science
843,Compilation Basics for Macroeconomic Statistics,$25 ,"6,570",Introductory,English,Data Analysis & Statistics
844,Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,$25 ,"20,189",Introductory,Español,Engineering
845,From Fossil Resources to Biomass: A Chemistry Perspective,$149 ,"5,464",Advanced,English,Energy & Earth Sciences
846,System Dynamics for Health Sciences,$139 ,"15,157",Intermediate,English,Medicine
847,Internet de las cosas (IoT) y Big Data,$49 ,,Intermediate,Español,Data Analysis & Statistics
848,Introducción a Ciencias de Datos y Estadística Básica para Negocios,$49.99 ,,Advanced,Español,Data Analysis & Statistics
849,Introduction to Psychological Research Methods,$99 ,"17,087",Introductory,English,Humanities
850,Sustainable Packaging in a Circular Economy,$50 ,"6,277",Intermediate,English,Design
851,Design in Healthcare: Using Patient Journey Mapping,$129 ,"17,946",Introductory,English,Design
852,"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",$99 ,,Intermediate,Español,Biology & Life Sciences
853,"Electronic, Optical, and Magnetic Properties of Materials",$150 ,"9,717",Advanced,English,Engineering
854,La España del Quijote,$19 ,"13,277",Introductory,Español,History
855,Risk Management for Projects,$199 ,"22,269",Introductory,English,Business & Management
856,Smithsonian’s Objects That Define America,$50 ,"9,071",Introductory,English,Humanities
857,Creating Modern China: The Republican Period to the Present,$139 ,"43,045",Introductory,English,History
858,Discover Political Science,$50 ,"6,573",Intermediate,English,Social Sciences
859,Data Science: Inferential Thinking through Simulations,$199 ,"17,505",Introductory,English,Computer Science
860,Programming for Data Science,$199 ,"41,268",Introductory,English,Computer Science
861,Public Sector Debt Statistics,$25 ,,Intermediate,English,Economics & Finance
862,Sensor Fusion and Non-linear Filtering for Automotive Systems,$299 ,"9,709",Advanced,English,Engineering
863,Creación musical con Soundcool: Introducción,$30 ,,Introductory,Español,Music
864,First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,$49 ,"8,222",Introductory,English,Humanities
865,The Quantum Internet and Quantum Computers: How Will They Change the World?,$50 ,"15,014",Introductory,English,Science
866,Research Methods: An Engineering Approach,$169 ,"20,444",Introductory,English,Engineering
