,course_title,price,num_subscribers,level,subject,idioma
2005,The Circle of Fifths for Guitarists,50,1018,Intermediate Level,Musical Instruments,Ingles
2006,Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro,70,2164,All Levels,Musical Instruments,Ingles
2007,Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,95,2415,All Levels,Musical Instruments,Ingles
2008,Essential Theory and Technique for Guitar,0,2285,Beginner Level,Musical Instruments,Ingles
2009,Piano for Complete Beginners: Learn your first song today!,40,1268,Beginner Level,Musical Instruments,Ingles
2010,Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands,95,2026,Intermediate Level,Musical Instruments,Ingles
2011,Master Class # 11:  Play Piano Techniques Learn Piano 1 to10,95,2164,All Levels,Musical Instruments,Ingles
2012,Learn all Piano Chords in all Piano Scales with logic,45,969,Beginner Level,Musical Instruments,Ingles
2013,Learn to play the piano or keyboard from scratch,145,1987,Beginner Level,Musical Instruments,Ingles
2014,5 Exotic Guitar Scales and How to Use Them Effectively,50,1319,Intermediate Level,Musical Instruments,Ingles
2015,Learn 4 Chords and Play Thousands of Songs!,20,4560,Beginner Level,Musical Instruments,Ingles
2016,#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,75,1593,Intermediate Level,Musical Instruments,Ingles
2017,Acoustic Fingerstyle Guitar Course: Beginner to Advanced,200,6565,All Levels,Musical Instruments,Ingles
2018,Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,200,4133,Intermediate Level,Musical Instruments,Ingles
2019,Play Piano 1 Master Class Intro:  Standards 2-5 Power Chords,50,1541,All Levels,Musical Instruments,Ingles
2020,Best Beginner Guitar Lessons by Sam Lyons,20,14560,All Levels,Musical Instruments,Ingles
2021,A new approach to piano and playing songs for beginners,50,7140,Beginner Level,Musical Instruments,Ingles
2022,Learn Guitar: Zero to Guitar Fingerpicking in 30 days,50,1495,Beginner Level,Musical Instruments,Ingles
2023,How to play Contemporary Piano,25,1200,All Levels,Musical Instruments,Ingles
2024,Piano Technique Exercises Vol.1,50,1674,All Levels,Musical Instruments,Ingles
2025,Instant Harmonica - Learning the Basic 12 Bar Blues Bassline,40,54,All Levels,Musical Instruments,Ingles
2026,#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,75,940,Intermediate Level,Musical Instruments,Ingles
2027,Modern Country Guitar: Technique Booster,30,1152,Intermediate Level,Musical Instruments,Frances
2028,"Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead",95,2558,Beginner Level,Musical Instruments,Ingles
2029,#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,75,850,Intermediate Level,Musical Instruments,Ingles
2030,3 step formula for playing guitar by ear,25,3937,Beginner Level,Musical Instruments,Ingles
2031,"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",100,6271,All Levels,Musical Instruments,Ingles
2032,Play Piano by Ear Today! SuperCourse,60,4557,All Levels,Musical Instruments,Ingles
2033,Learn to Read & Write Music to play Piano & more instruments,115,5292,All Levels,Musical Instruments,Ingles
2034,The Complete Piano Course - Master The Piano,95,4982,All Levels,Musical Instruments,Ingles
2035,Learn to play your favorite guitar songs by ear,50,4733,All Levels,Musical Instruments,Ingles
2036,Piano for Singer/Songwriters | Write Songs and Perform Live!,100,3371,Beginner Level,Musical Instruments,Ingles
2037,Fun Beginner Ukulele Course,55,1409,Beginner Level,Musical Instruments,Aleman
2038,Learn Guitar in 21 Days,20,26504,Beginner Level,Musical Instruments,Ingles
2039,Fun Ukulele Strumming Course,45,3141,Beginner Level,Musical Instruments,Aleman
2040,The Professional Bass Masterclass,200,1449,All Levels,Musical Instruments,Ingles
2041,The Allman Brothers Guitar Roots And Techniques,75,2692,Intermediate Level,Musical Instruments,Ingles
2042,Blues Guitar Fundamentals,50,3312,Intermediate Level,Musical Instruments,Ingles
2043,#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,65,2015,Intermediate Level,Musical Instruments,Ingles
2044,#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,65,2015,Intermediate Level,Musical Instruments,Ingles
2045,Beginner Level Popular Piano Program - Month 1,30,7,Beginner Level,Musical Instruments,Ingles
2046,Piano Lessons for the R&B Fan,20,228,All Levels,Musical Instruments,Ingles
2047,Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,20,65,Expert Level,Musical Instruments,Ingles
2048,Darbuka Drumming: Learn how to play the Darbuka Dounbek,0,1094,Beginner Level,Musical Instruments,Ingles
2049,Awesome Lead Guitar 1,25,60,Beginner Level,Musical Instruments,Ingles
2050,The art of piano improvisation,20,83,All Levels,Musical Instruments,Ingles
2051,How To Build A Professional Djembe: Create Music Beauty &Biz,40,122,All Levels,Musical Instruments,Ingles
2052,Advanced Euphonium Studies - Learn to Master the Euphonium!​,50,106,All Levels,Musical Instruments,Ingles
2053,Didgeridoo - from zero to HERO! Part Two. Intermediate.,35,55,Intermediate Level,Musical Instruments,Ingles
2054,Fingerstyle Guitar by Jacques Stotzem - Advanced Level,30,77,All Levels,Musical Instruments,Ingles
2055,Trumpet Pro Series - You're going to love practicing Trumpet,50,92,All Levels,Musical Instruments,Ingles
2056,A Guide to Analog Synths: For the modern EDM enthusiast.,20,29,All Levels,Musical Instruments,Ingles
2057,Acoustic Blues Guitar Lessons,0,8217,Intermediate Level,Musical Instruments,Frances
2058,Accelerate Your Guitar Learning With Metal Techniques,20,1305,All Levels,Musical Instruments,Ingles
2059,Beginner Step by Step Keharwa Theka Tabla Course,20,916,Beginner Level,Musical Instruments,Ingles
2060,Just chords Piano: Learn to Play Piano Quickly - No Music,85,2357,Beginner Level,Musical Instruments,Ingles
2061,Play Ukulele Now,30,1951,All Levels,Musical Instruments,Ingles
2062,Acoustic Blues Guitar Lessons,125,1284,Intermediate Level,Musical Instruments,Frances
2063,Piano Runs & Fills #1: Play Dreamy Whole Tone Scale Runs,70,769,All Levels,Musical Instruments,Ingles
2064,Play Piano Today - Easy Festive Favorites & Piano Party Hits,75,3122,All Levels,Musical Instruments,Ingles
2065,The 80/20 Beginner Guitar Course,50,1269,Beginner Level,Musical Instruments,Ingles
2066,Drums for Beginners,0,1618,Beginner Level,Musical Instruments,Ingles
2067,Digital Pianist Course-Learn Piano & Keyboard Fast & Easy,150,89,Beginner Level,Musical Instruments,Ingles
2068,Learn to play guitar and sing at the same time,45,66,Beginner Level,Musical Instruments,Ingles
2069,Introduction to Ukulele 1,20,630,Beginner Level,Musical Instruments,Ingles
2070,Learn Flute FAST!,45,249,Beginner Level,Musical Instruments,Ingles
2071,Guitar Lessons - Soloing With Arpeggios - Essential Guide ,45,198,Intermediate Level,Musical Instruments,Ingles
2072,Piano With Willie: Blues n' Boogie Vol. 3,40,84,Intermediate Level,Musical Instruments,Ingles
2073,Instant Harmonica - play The Kesh (pt 1) it's easy and fun!,40,58,All Levels,Musical Instruments,Ingles
2074,Piano Lessons For Beginners: Learn Piano Quickly And Easily,75,186,Beginner Level,Musical Instruments,Ingles
2075,The Easy Beginner Drum Course,25,21,Beginner Level,Musical Instruments,Ingles
2076,Instant Harmonica - play Somewhere Over the Rainbow now!,40,431,Beginner Level,Musical Instruments,Ingles
2077,Instant Harmonica - play The Kesh (part 2) - easy and fun!,20,53,Beginner Level,Musical Instruments,Ingles
2078,The 80/20 Guitar: Write Music and Play Guitar in 30 Days,0,2610,All Levels,Musical Instruments,Ingles
2079,Ukulele 2 : Level 1 KEY OF C AND STRUMS,20,26,Beginner Level,Musical Instruments,Ingles
2080,Guitar for Music Educators: Learning How to Teach Guitar,20,32,Beginner Level,Musical Instruments,Ingles
2081,Piano Tutorial : Ludovico Einaudi - Una Mattina,0,1631,All Levels,Musical Instruments,Ingles
2082,Guitar Solo - Theory and Improvisation Lessons,60,12,Intermediate Level,Musical Instruments,Ingles
2083,Bluegrass Guitar Essentials: Webisodes 3 & 4,30,12,Intermediate Level,Musical Instruments,Ingles
2084,Instant Harmonica - play Christmas + Birthday songs now!,40,236,All Levels,Musical Instruments,Ingles
2085,Blues Master - Advanced Techniques Piano Course,75,7,All Levels,Musical Instruments,Frances
2086,Bluegrass Guitar Essentials: Webisodes 5 & 6,30,11,Intermediate Level,Musical Instruments,Ingles
2087,Trombone Lessons For Beginners,95,11,Beginner Level,Musical Instruments,Ingles
2088,Rhythm to Rock Drum Lesson 6,20,12,Beginner Level,Musical Instruments,Ingles
2089,Flute Pro Series - You're about to love practicing the flute,50,135,All Levels,Musical Instruments,Ingles
2090,How To Play Guitar - Everything You Need To Know To Start,50,5,Beginner Level,Musical Instruments,Ingles
2091,Trombone Pro Series - Fall in love with the Trombone,50,57,All Levels,Musical Instruments,Ingles
2092,Learn How To Play 25 Classic Hip Hop Songs Ch.2,25,7,All Levels,Musical Instruments,Ingles
2093,Learn to play tunes by ear on harmonica - no written music,35,73,Intermediate Level,Musical Instruments,Ingles
2094,Fingerpicking for Guitar,20,35,All Levels,Musical Instruments,Ingles
2095,"Music Theory, Guitar and Ear Training",60,30,Beginner Level,Musical Instruments,Ingles
2096,"Piano Unbound. Piano learning method, a course for beginners",195,32,All Levels,Musical Instruments,Ingles
2097,Advanced Trombone Studies - Learn to Master the Trombone!,50,39,All Levels,Musical Instruments,Ingles
2098,"Euphonium Solos: Learn to Perform Three Fun, Unique Pieces!",50,90,All Levels,Musical Instruments,Ingles
2099,Piano With Willie: Tritones & Phat Chords,40,37,Intermediate Level,Musical Instruments,Ingles
2100,Piano for Kids: Developing Your Child's Creative Abilities,65,42,Beginner Level,Musical Instruments,Ingles
2101,Piano Lessons For The Hip Hop Fan,20,276,Intermediate Level,Musical Instruments,Ingles
2102,French Horn Solos: Learn how to Perform Three Fun Pieces!,50,88,All Levels,Musical Instruments,Ingles
2103,Bluegrass Guitar Essentials: Webisodes 9 & 10,30,10,Intermediate Level,Musical Instruments,Ingles
2104,Clarinet Lessons For Beginners,95,11,Beginner Level,Musical Instruments,Aleman
2105,Play music on Harmonica using 8 notes - learn easy tunes!,35,29,Beginner Level,Musical Instruments,Ingles
2106,Learn Piano Online-A Quiet Solace Piano Solo,50,7,Intermediate Level,Musical Instruments,Ingles
2107,Bluegrass Guitar Essentials: Webisodes 7 & 8,30,9,Intermediate Level,Musical Instruments,Ingles
2108,The Art of the Blues Shuffle - A Guitarist's Guide,20,8,Intermediate Level,Musical Instruments,Ingles
2109,Learn Piano Online-Ambiance Piano Solo,50,8,Intermediate Level,Musical Instruments,Ingles
2110,Piano Lessons For Beginners,95,8,Beginner Level,Musical Instruments,Ingles
2111,The Theory & Practice of Modes on the Guitar,35,17,Intermediate Level,Musical Instruments,Ingles
2112,Learn How To Play The Trumpet,75,2,All Levels,Musical Instruments,Ingles
2113,Violin for Beginners,50,4,Beginner Level,Musical Instruments,Ingles
2114,Beginner Acoustic Guitar Lessons,25,8,Beginner Level,Musical Instruments,Frances
2115,Aprendiendo Piano: Tocando piezas populares Vol.I,100,122,Beginner Level,Musical Instruments,Español
2116,Curso de Bateria - Explorando Diferentes Divisões,55,5,Intermediate Level,Musical Instruments,Portuges
2117,Escalas Pentatónicas para guitarristas,25,11,All Levels,Musical Instruments,Español
2118,Brass Master Class,20,36,All Levels,Musical Instruments,Ingles
2119,Enseñando música: mejora tus clases de instrumento ,30,111,Beginner Level,Musical Instruments,Español
2120,Ukelele exprés: aprende a tocar en menos de un mes,0,888,Beginner Level,Musical Instruments,Español
2121,Curso de Guitarra para Principiantes,20,53,Beginner Level,Musical Instruments,Español
2122,Mundharmonika spielen - mein schönstes Hobby,20,65,Beginner Level,Musical Instruments,Aleman
2123,Aprende el acordeón de oído y con técnica –Nivel Intermedio–,25,38,Intermediate Level,Musical Instruments,Español
2124,Présentation du Banjo Ténor,20,18,Beginner Level,Musical Instruments,Frances
2125,Aprende a tocar el acordeón de botones,50,22,All Levels,Musical Instruments,Español
2126,Aprendiendo piano: Lectura de piezas clásicas Vol.I,50,211,Beginner Level,Musical Instruments,Español
2127,Pedais de efeito para Contrabaixo,50,10,All Levels,Musical Instruments,Portuges
2128,Mantenimiento y octavación para guitarras eléctricas,35,12,All Levels,Musical Instruments,Español
2129,Aprende a tocar el violín desde cero,50,17,All Levels,Musical Instruments,Español
2130,Aprende a tocar el teclado como los expertos,50,11,All Levels,Musical Instruments,Español
2131,Aprende a tocar el saxofón como siempre has querido,20,8,All Levels,Musical Instruments,Español
2132,Guitarra para principiantes,20,7,Beginner Level,Musical Instruments,Ingles
2133,Aprende a tocar flauta transversal sin complicaciones,50,6,All Levels,Musical Instruments,Ingles
2134,Aprende a tocar las escalas en el acordeón de botones.,20,2,Beginner Level,Musical Instruments,Español
2135,Curso de Violão Prático,70,5,Beginner Level,Musical Instruments,Portuges
2136,"Aprende a tocar percusiones: congas, bongós, maracas y más",50,14,All Levels,Musical Instruments,Español
2137,Gitarre spielen - mein schönstes Hobby,20,11,Beginner Level,Musical Instruments,Aleman
2138,Aprende a tocar la guitarra acústica como un profesional,50,11,All Levels,Musical Instruments,Español
2139,Guitar Lesson - Five Steps to Learn Barre Chords,35,57,All Levels,Musical Instruments,Ingles
2140,"Easy Piano Basics™ - Learn Piano, No Prior Experience Needed",20,377,All Levels,Musical Instruments,Ingles
2141,Guitar Technique Mastery: The Ultimate Chop Building Workout,20,273,All Levels,Musical Instruments,Ingles
2142,Inside Drum Technique,50,406,All Levels,Musical Instruments,Frances
2143,"Learn to Play Tarrega, Bach, and Sor on Classical Guitar",195,556,Intermediate Level,Musical Instruments,Ingles
2144,Create Beautiful Music On The Piano Like a Pro In Minutes,95,115,All Levels,Musical Instruments,Ingles
2145,Instant Harmonica - play the great Irish tune Molly Malone!,20,420,Beginner Level,Musical Instruments,Ingles
2146,Instant Harmonica - play 'Can't Help Falling in Love' now!,40,32,All Levels,Musical Instruments,Ingles
2147,Arpeggios for Guitar made Easy! Dominate the Fretboard,65,26,All Levels,Musical Instruments,Ingles
2148,Guitar Lessons - The Modal System - Modes Essentials,45,116,All Levels,Musical Instruments,Ingles
2149,Learn to Play Percussion: Beginner to Pro made the Easy Way!,50,425,All Levels,Musical Instruments,Ingles
2150,Modern Piano Lessons For Beginners,20,736,Beginner Level,Musical Instruments,Aleman
2151,World Percussion: Complete Lessons for Everyone,40,68,All Levels,Musical Instruments,Ingles
2152,Learn Lion (Saroo) Soundtrack On The Piano By Ear,20,104,All Levels,Musical Instruments,Ingles
2153,Acoustic Blues Guitar Lessons,75,189,Intermediate Level,Musical Instruments,Frances
2154,Play Guitar and Understand Music Quick & Easy in 28 Days!,20,738,All Levels,Musical Instruments,Ingles
2155,Learn How to Play the Violin - Violin Basics,20,365,Beginner Level,Musical Instruments,Ingles
2156,Swing Low - The 101 Authentic Nashville Piano Style Course,20,146,All Levels,Musical Instruments,Ingles
2157,Guitar:Play 5 Easy Christmas Chord Progressions On Guitar,50,383,Beginner Level,Musical Instruments,Ingles
2158,Get Piano Skills TODAY!!! ,100,92,All Levels,Musical Instruments,Ingles
2159,Learn the Violin - Scales and Fundamentals,80,291,Beginner Level,Musical Instruments,Ingles
2160,Piano With Willie Building Technique with Scales Vol. 2,40,61,All Levels,Musical Instruments,Ingles
2161,Master Flute Playing: Intermediate Instruction Made Simple!,50,288,Intermediate Level,Musical Instruments,Ingles
2162,How to Sing and Play the Guitar (at the same time),20,78,Beginner Level,Musical Instruments,Ingles
2163,"Super Beginner Guitar - start right, start awesome",30,594,Beginner Level,Musical Instruments,Ingles
2164,"Introduction to Guitar 'A Course for Beginners"",https://www.udemy.com/introduction-to-guitar/,true,25,163,11,56,Beginner Level,2.5 hours,2014-10-30T15:59:39Z
650804,Guitar  Master Class Learning How to Play Guitar from A to Z""",40,489,All Levels,Musical Instruments,Ingles
2165,Rhythm to Rock Drum Lesson 5,20,13,Beginner Level,Musical Instruments,Ingles
2166,Gibson's Learn & Master Guitar,50,103,All Levels,Musical Instruments,Ingles
2167,Master the Trombone: Intermediate Instruction Made Simple!,50,231,All Levels,Musical Instruments,Ingles
2168,Walking Bass Fundamentals,50,44,All Levels,Musical Instruments,Aleman
2169,Circular Breathing for musicians - practical skills,25,261,All Levels,Musical Instruments,Ingles
2170,Electric Bass for Busy Beginners Course 1,50,114,All Levels,Musical Instruments,Ingles
2171,Guitar for Absolute Beginners (Class 1),20,45,Beginner Level,Musical Instruments,Ingles
2172,Tenor Banjo for Absolute Beginners,0,3167,Beginner Level,Musical Instruments,Ingles
2173,Guitar Lessons - 50 Essential Fast Legato Licks,35,105,Intermediate Level,Musical Instruments,Frances
2174,Aprenda a tocar Pandeiro - Curso Iniciante - Samba/Choro,90,85,Beginner Level,Musical Instruments,Portuges
2175,Aprende batería con el nuevo método IDT,20,335,All Levels,Musical Instruments,Español
2176,5 lecciones que todo guitarrista debe tomar,0,4452,Beginner Level,Musical Instruments,Español
2177,Los 7 Acordes para Tocarlo Todo en un fin de semana,20,332,Beginner Level,Musical Instruments,Español
2178,Curso de Violão Popular,25,287,Beginner Level,Musical Instruments,Portuges
2179,Aprendiendo Piano: Ejercicios de calentamiento,0,1876,Beginner Level,Musical Instruments,Español
2180,Aprendiendo piano: Lectura de piezas clásicas Vol.II,40,113,Beginner Level,Musical Instruments,Español
2181,"Aprende a tocar el Acordeón 'de oído y con técnica"",https://www.udemy.com/aprende-a-tocar-el-acordeon-de-oido-y-con-tecnica/,true,25,93,21,34,Beginner Level,4 hours,2014-09-16T19:51:45Z
263432,Aprende los Secretos de la Armónica con HARP&SOUL""",75,158,All Levels,Musical Instruments,Español
2182,Guitarra Desde Cero - PARTE 1,35,480,Beginner Level,Musical Instruments,Español
2183,Super-Curso de Guitarra Práctico Para Principiantes,85,228,Beginner Level,Musical Instruments,Español
2184,Explosão Pentatônica,55,42,All Levels,Musical Instruments,Portuges
2185,Complete Beginners Introduction to Guitar,40,10,Beginner Level,Musical Instruments,Ingles
2186,Learn 10 Scottish Tunes Piano Easy Level,45,103,Beginner Level,Musical Instruments,Ingles
2187,Fingerpicking Fundamentals,20,75,Beginner Level,Musical Instruments,Aleman
2188,Piano With A Pro,25,66,All Levels,Musical Instruments,Ingles
2189,Piano Lessons for Beginners: Play the Piano AND Read Music!,70,61,Beginner Level,Musical Instruments,Ingles
2190,Master the Tuba - Intermediate Instruction Made Simple!,50,184,Intermediate Level,Musical Instruments,Ingles
2191,The Fun and Effective Piano Course,30,24,All Levels,Musical Instruments,Ingles
2192,Advanced Flute Studies - Learn to Master the Flute!​,50,205,All Levels,Musical Instruments,Ingles
2193,Alternate Picking Speed & Accuracy,20,19,All Levels,Musical Instruments,Ingles
2194,"Master the Euphonium with Simple, Intermediate Instruction!",50,120,Intermediate Level,Musical Instruments,Ingles
2195,Master the Clarinet: Intermediate Instruction Made Simple!,50,232,All Levels,Musical Instruments,Ingles
2196,Advanced Clarinet Studies - Learn to Master the Clarinet!,50,148,All Levels,Musical Instruments,Ingles
2197,Aprende a tocar ritmo pop en el piano y teclado,20,10,All Levels,Musical Instruments,Español
2198,Aprendiendo Piano: Tocando piezas populares Vol.II,100,72,Beginner Level,Musical Instruments,Español
2199,Comment jouer du Pianoforte,100,172,All Levels,Musical Instruments,Frances
2200,Aprende a tocar blues en el piano y teclado,50,10,All Levels,Musical Instruments,Español
2201,ABC DO VIOLÃO E GUITARRA,85,25,Beginner Level,Musical Instruments,Portuges
2202,Suonare la Chitarra,200,1,All Levels,Musical Instruments,Ingles
2203,Aprende todos los secretos de la guitarra flamenca,50,13,All Levels,Musical Instruments,Español
2204,こどもギターレッスン　リトルギタリストⅠ,20,69,Beginner Level,Musical Instruments,Japones
2205,Aprende cómo tocar el Bajo Sexto,50,10,All Levels,Musical Instruments,Español
2206,Coach Guitar - Apprendre la GUITARE facile avec des COULEURS,50,25,All Levels,Musical Instruments,Frances
2207,Sistema Completo De Guitarra Rítmica Para Principiantes,55,21,Beginner Level,Musical Instruments,Portuges
2208,Curso de batería online de Patricio Iglesias (Santa Sabina),35,5,Intermediate Level,Musical Instruments,Español
2209,"Learn Piano with Beyer, 15 Minutes Challenge",65,418,All Levels,Musical Instruments,Ingles
2210,"Classical Guitar Master Class: 'Alman  """,195,113,Intermediate Level,Musical Instruments,Ingles
2211,Blues Accelerator - 21 Days to Blues Guitar Mastery,50,78,Beginner Level,Musical Instruments,Ingles
2212,Alto Saxophone Lessons For Beginners,95,51,Beginner Level,Musical Instruments,Ingles
2213,Instant Harmonica - Christmas; play Jingle Bells part 2 now!,20,58,All Levels,Musical Instruments,Ingles
2214,Piano With Willie: Jazz & Gospel Exercises,40,56,Intermediate Level,Musical Instruments,Ingles
2215,Bending the blue notes to give you killer sound on harmonica,35,162,Intermediate Level,Musical Instruments,Ingles
2216,"Beginner's Guitar: Tuning, Strumming, and Chords!",0,2577,Beginner Level,Musical Instruments,Ingles
2217,Instant Harmonica - play The Lion Sleeps Tonight - today!,20,62,Beginner Level,Musical Instruments,Ingles
2218,Piano With Willie Building Technique with Scales Vol. 3,40,42,All Levels,Musical Instruments,Ingles
2219,Instant Bodhran - part two; learning further drumming skills,40,28,Beginner Level,Musical Instruments,Ingles
2220,Guitar Essentials,20,261,Beginner Level,Musical Instruments,Ingles
2221,Rhythm to Rock Drum Lessons,20,44,Beginner Level,Musical Instruments,Ingles
2222,Learn to play and improve 12 bar blues harmonica solos,40,4,Beginner Level,Musical Instruments,Ingles
2223,Learn to improvise on your harmonica - in nice easy steps,35,98,Beginner Level,Musical Instruments,Ingles
2224,Learning Electric Guitar for Absolute Beginners,35,19,Beginner Level,Musical Instruments,Ingles
2225,Advanced Bassoon Studies - Learn to Master the Bassoon!​,50,197,All Levels,Musical Instruments,Ingles
2226,Blues Guitar Lessons: Play Like the Greats - All Levels,20,58,All Levels,Musical Instruments,Ingles
2227,Instant Harmonica - play Whiskey in the Jar + Molly Malone!,40,21,All Levels,Musical Instruments,Ingles
2228,Learn To Play Trumpet Fast Using The Passive Trumpet Tutor,50,92,All Levels,Musical Instruments,Ingles
2229,Electric Bass Right From The Start,100,239,Beginner Level,Musical Instruments,Ingles
2230,Beginner Guitar Essentials,95,5,Beginner Level,Musical Instruments,Aleman
2231,Advanced Tuba Studies - Become a Master of the Tuba!​,50,173,All Levels,Musical Instruments,Ingles
2232,'Greensleeves' Creative Piano Lessons Course,20,10,All Levels,Musical Instruments,Ingles
2233,Rhythm to Rock Drum Lesson 4,20,12,Beginner Level,Musical Instruments,Ingles
2234,Hands On Guitar: Beyond Beginner,20,54,Beginner Level,Musical Instruments,Aleman
2235,Instant harmonica - play Auld Lang Syne the neet (tonight)!,40,28,All Levels,Musical Instruments,Ingles
2236,Piano The Hard Way -  Fast Way To Life Long Piano Enjoyment,25,238,Beginner Level,Musical Instruments,Ingles
2237,The Ultimate Method for Learning Modern Piano & Keyboards,25,512,All Levels,Musical Instruments,Ingles
2238,Master the Bassoon - Intermediate Instruction Made Simple!,50,177,All Levels,Musical Instruments,Ingles
2239,Oboe Pro Series - You're going to love practicing the Oboe,50,61,All Levels,Musical Instruments,Ingles
2240,Instant Harmonica - play this classic GAME OF THRONES theme!,40,21,Beginner Level,Musical Instruments,Ingles
2241,"Trumpet Solos: Learn how to Perform Three Fun, Unique Pieces",50,115,Intermediate Level,Musical Instruments,Ingles
2242,Learn 4 Vital things that will make your DRUM PLAYING EASIER,35,510,All Levels,Musical Instruments,Ingles
2243,Sax Solos: Learn how to Perform Three Fun and Unique Pieces!,50,147,Intermediate Level,Musical Instruments,Ingles
2244,Traditional-Style Electric Blues Guitar For Beginners,25,9,Beginner Level,Musical Instruments,Ingles
2245,Aprende a tocar los mejores solos en la guitarra eléctrica,30,5,All Levels,Musical Instruments,Español
2246,Aprende a tocar la guitarra,50,7,All Levels,Musical Instruments,Ingles
2247,Aprende a tocar el piano desde cero,50,4,All Levels,Musical Instruments,Español
2248,Aprende a tocar el clarinete.  ,50,4,All Levels,Musical Instruments,Español
2249,Ahora aprende a tocar jazz en el piano,30,4,All Levels,Musical Instruments,Español
2250,こどもギターレッスン　リトルギタリストⅡ,20,2,Beginner Level,Musical Instruments,Japones
2251,Aprende a tocar el contrabajo sin complicaciones,50,3,All Levels,Musical Instruments,Español
2252,Aprende a tocar la guitarra eléctrica,50,3,All Levels,Musical Instruments,Español
2253,Aprende a improvisar en la guitarra eléctrica,50,3,All Levels,Musical Instruments,Español
2254,Curso de Teclado,40,1,Beginner Level,Musical Instruments,Español
2255,Guitarra Acústica en Siete Días,20,1,Beginner Level,Musical Instruments,Español
2256,improvisación de Guitarra,20,1,All Levels,Musical Instruments,Español
2257,Step by Step Classical Guitar Course,100,9,Beginner Level,Musical Instruments,Ingles
2258,Piano With Willie Building Technique with Scales Vol. 4,40,44,All Levels,Musical Instruments,Ingles
2259,Back In Black the AC/DC Classic Rock Track,20,13,Intermediate Level,Musical Instruments,Ingles
2260,Keyboard Basics,25,17,All Levels,Musical Instruments,Ingles
2261,Beginner Guitar Lessons,20,118,Beginner Level,Musical Instruments,Aleman
2262,Guitar Fundamentals for Beginners,25,5,Beginner Level,Musical Instruments,Ingles
2263,Easy Piano - learn and play along,20,11,Beginner Level,Musical Instruments,Ingles
2264,Learn Piano: The Basics of Keyboards,20,113,Beginner Level,Musical Instruments,Ingles
2265,Bassoon Pro Series - You're going to love practicing Bassoon,50,36,All Levels,Musical Instruments,Ingles
2266,Acoustic Guitar Lessons For Beginners,95,10,Beginner Level,Musical Instruments,Ingles
2267,Coach Guitar - Amazing New Way To Learn Guitar With Colors,50,12,All Levels,Musical Instruments,Ingles
2268,Mastering the Art of Guitar Chords,20,78,Beginner Level,Musical Instruments,Ingles
2269,30 Day Guitar Jump Start for Success,105,31,Beginner Level,Musical Instruments,Ingles
2270,Learn to Play Bassoon: Beginner to Pro in Under Four Hours!,50,205,Beginner Level,Musical Instruments,Ingles
2271,The 7 Day Guitar Method,20,213,All Levels,Musical Instruments,Ingles
2272,Instant Harmonica - play Star Wars + the Lion Sleeps now!,40,33,All Levels,Musical Instruments,Ingles
2273,Instant harmonica - play Adele's wonderful 'Hello' today!,20,284,All Levels,Musical Instruments,Ingles
2274,Guitar Strumming 101 - Have More Fun Playing Songs You Love,50,8,Beginner Level,Musical Instruments,Ingles
2275,Master Oboe Playing: Intermediate Instruction Made Simple!,50,98,Intermediate Level,Musical Instruments,Ingles
2276,Drum Set for Beginners,20,119,Beginner Level,Musical Instruments,Ingles
2277,Guitar Lessons - Economy Picking Essentials,35,45,Intermediate Level,Musical Instruments,Ingles
2278,Blues Guitar Lessons - Blues Guitar - Robert Johnson,20,297,Intermediate Level,Musical Instruments,Frances
2279,TAKE NOTE BEGINNER CLARINET!  –  Fun with Fundamental Skills,30,137,Beginner Level,Musical Instruments,Ingles
2280,Learn to Play Irish Fiddle,60,112,Beginner Level,Musical Instruments,Ingles
2281,Hands-On Guitar: The Beginner's Guide,20,28,Beginner Level,Musical Instruments,Ingles
2282,Slap Bass For Beginners,50,79,All Levels,Musical Instruments,Aleman
2283,Piano Lessons for Beginners Made Easy,25,333,Beginner Level,Musical Instruments,Ingles
2284,Horn Pro Series - You're going to love playing French Horn,50,48,All Levels,Musical Instruments,Ingles
2285,Instant Harmonica - play the Irish tune Whiskey in the Jar!,20,41,All Levels,Musical Instruments,Ingles
2286,Didgeridoo - from zero to HERO! Part Three. Advanced level.,35,209,Expert Level,Musical Instruments,Ingles
2287,Saxophone Pro Series - You're going to love practicing Sax,50,119,All Levels,Musical Instruments,Ingles
2288,Easy Piano for Kids - Complete Beginner Piano Course,115,139,Beginner Level,Musical Instruments,Ingles
2289,Guitar Lessons - Two Handed Tapping Essentials,35,41,Intermediate Level,Musical Instruments,Ingles
