,course_title,price,num_subscribers,level,subject,idioma
134,Basic Bookkeeping Hacks,20,5841,All Levels,Business Finance,Ingles
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),200,1087,All Levels,Business Finance,Ingles
136,"Forex Trading with Fixed 'Risk through Options Trading""",200,611,Beginner Level,Business Finance,Ingles
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",60,1922,All Levels,Business Finance,Ingles
138,How to Pick The Right Penny Stocks To Invest In 2017,150,9015,All Levels,Business Finance,Ingles
139,Top 10 Trading Ideas in the Equities Market,20,661,All Levels,Business Finance,Ingles
140,Intro to Financial Modeling,105,1077,Beginner Level,Business Finance,Ingles
141,Shark Accounting - Building a Business by the Numbers!,20,6050,Beginner Level,Business Finance,Ingles
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,150,3523,All Levels,Business Finance,Ingles
143,Accounting in 60 Minutes - A Brief Introduction,0,56659,Beginner Level,Business Finance,Ingles
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,100,1444,Beginner Level,Business Finance,Ingles
145,Learn how to double your Forex Trading Account in one trade,60,2900,Intermediate Level,Business Finance,Ingles
146,"Accounting Superpowers: Learn Accounts, Understand Business!",200,1437,Beginner Level,Business Finance,Ingles
147,Python Algo Trading: FX Trading with Oanda,200,453,Intermediate Level,Business Finance,Ingles
148,Save on Your Taxes,20,2437,All Levels,Business Finance,Ingles
149,Financial Model Basics: Build a model from start to finish,30,5057,Beginner Level,Business Finance,Ingles
150,Option Trading for Rookies: The Covered Call Option Strategy,95,6092,Beginner Level,Business Finance,Ingles
151,EFT for Stock Options Trading Success & Making Better Trades,95,4530,All Levels,Business Finance,Ingles
152,Learn to Trade the Stock Market without Blowing Your Profits,60,6967,All Levels,Business Finance,Ingles
153,Get a Credit Repair Publication On Amazon and Live LIFE..,20,727,Beginner Level,Business Finance,Ingles
154,Fundamentals of Accounting,20,1560,All Levels,Business Finance,Ingles
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200,1047,All Levels,Business Finance,Ingles
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,125,1045,Intermediate Level,Business Finance,Ingles
157,Accounting 101: How to read an Accounting Balance Sheet,200,3050,Beginner Level,Business Finance,Ingles
158,Stock Options Day Trading Mindset for Success,200,2988,All Levels,Business Finance,Ingles
159,Introduction to bookkeeping and Accounting,35,2623,Beginner Level,Business Finance,Ingles
160,Learn to Trade The News,200,1924,All Levels,Business Finance,Ingles
161,"Value Investing, Taught by Six Superinvestors",200,3804,All Levels,Business Finance,Ingles
162,Trading for everyone - The Independent Investor Course I,120,4133,Beginner Level,Business Finance,Ingles
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,195,1420,All Levels,Business Finance,Ingles
164,Stock Market investment: Practical Accounting,125,1120,Beginner Level,Business Finance,Ingles
165,"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,All Levels,Business Finance,Ingles
166,Accounting Basics in 66 Minutes (absolutely for beginners),25,4086,All Levels,Business Finance,Ingles
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",200,1033,All Levels,Business Finance,Ingles
168,Analysis of Company Financial Statements,20,832,All Levels,Business Finance,Ingles
169,Forex Trading Like Banks – Step by Step with Live Examples,195,677,All Levels,Business Finance,Ingles
170,Fundamentals of Investing!,20,3125,Beginner Level,Business Finance,Ingles
171,Bank Financial Management A Comprehensive Study,50,1081,All Levels,Business Finance,Ingles
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,200,1645,All Levels,Business Finance,Ingles
173,"Master 'Technical Analysis and Chart reading skills Bundle""",120,3348,All Levels,Business Finance,Ingles
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,939,All Levels,Business Finance,Ingles
175,The Ultimate Guide to Dividend & Dividend Growth Investing,200,2115,All Levels,Business Finance,Ingles
176,Charting for Beginners 101: Technical Analysis Demystified,45,2230,All Levels,Business Finance,Ingles
177,Build a DCF Valuation Model,50,2053,All Levels,Business Finance,Ingles
178,Introductory Financial Accounting,80,1793,Beginner Level,Business Finance,Ingles
179,Introduction to Cryptocurrencies and Blockchain,0,3775,Beginner Level,Business Finance,Ingles
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,200,521,All Levels,Business Finance,Ingles
181,Accounting Standards Basics (Professional Course Level),20,2222,All Levels,Business Finance,Ingles
182,Use the Magic Multiple Moving Average Forex Trading system,50,1097,Intermediate Level,Business Finance,Ingles
183,QuickBooks 2015 Training for Newbies,200,2506,Beginner Level,Business Finance,Ingles
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,975,Intermediate Level,Business Finance,Ingles
185,Option Trading: How to Adjust Delta-Neutral Strangles!,145,1398,All Levels,Business Finance,Ingles
186,Profitable binary option trading strategy,195,1096,All Levels,Business Finance,Ingles
187,Tax Strategy: Financial Planning for Beginners,200,1703,All Levels,Business Finance,Ingles
188,Accounting 2 Simplified for You,45,1446,Beginner Level,Business Finance,Ingles
189,Project Funding Modelling (for Professionals),20,2736,All Levels,Business Finance,Ingles
